,MYCN,Column2
ACH-000078,0,1
ACH-000099,1,0
ACH-000120,1,0
ACH-000149,0,1
ACH-000227,0,1
ACH-000259,0,1
ACH-000260,0,1
ACH-000310,0,1
ACH-000312,0,1
ACH-000341,0,1
ACH-000366,0,1
ACH-000804,0,1
ACH-001188,0,1
ACH-001300,0,1
ACH-001301,0,1
ACH-001302,0,1
ACH-001303,0,1
ACH-001338,1,0
ACH-001344,0,1
ACH-001354,0,1
ACH-001366,0,1
ACH-001367,0,1
ACH-001481,0,1
ACH-001548,0,1
ACH-001603,0,1
ACH-001674,0,1
ACH-002080,0,1
ACH-002083,0,1
ACH-002217,0,1
ACH-002261,1,0
ACH-002278,1,0
ACH-002280,0,1
ACH-002282,1,0
ACH-002283,1,0
ACH-002284,1,0
ACH-002285,1,0
ACH-002922,0,1
